Track Number,Track,Artist,URI
263,Zibaye Vahshi,Gdaal,spotify:track:6KtsD99zkIYrIEz2VWAFTS
264,Khooneye Akhar,Gdaal,spotify:track:7tgpp8UCSpxZIubyGafiUY
265,Yadam Toro Faramush,Gdaal,spotify:track:2qJBAYZZzB7WcBXSxw6cXk
266,Barmigardeh,Gdaal,spotify:track:7lKg6xmUdKJeCWoiXj3gVz
267,7th Of July,Gdaal,spotify:track:5I8gdrCiUiYdrPGPHu8lp0
268,Banafsh,Gdaal,spotify:track:04ZLEr0TI0hBHS7q29CghJ
269,Khanevadegi 2,Gdaal,spotify:track:2z9qVddrm5DtbD6jou7RIa
270,Sedaha,Gdaal,spotify:track:6xnpjlh880NujuLV0Er33f
271,Saghi,Hayedeh,spotify:track:5X5AM1RbaqZlC45WWjeu4a
272,Aalam E Yekrangee,Hayedeh,spotify:track:2JvBEz6SEJZG34UBxbytC2
273,Soghati,Hayedeh,spotify:track:2SbjTkzyw8Yt9vgHIe2ciP
274,Deleh Divuneh,Hayedeh,spotify:track:0Yd8fy2FTqR35UCBMGTtNw
275,Halghe Tala (Moein),Hayedeh,spotify:track:02ROFSb24qOGyNik6Bket2
276,Bezan Tar,Hayedeh,spotify:track:2l2bcujEoZPZNJlq745QgU
277,Shabeh Eshgh,Hayedeh,spotify:track:2SyfMmgCEmA2RfxEwAFoDH
278,Siah Cheshmun,Hayedeh,spotify:track:7l0D9XzPDplyz9yaVUM1Zi
279,Ravi,Hayedeh,spotify:track:1LZ85VRJ2GLYhUQW3nbWgi
280,Nagoo Nemiyam,Hayedeh,spotify:track:4lad3kIPCIUp8OFMrI5ugx
281,Shah Beyt,Masih,spotify:track:7HSrtrTsrJI74x9clNTo8K
282,Shakhe Nabat,Masih,spotify:track:5S7MbZHa1u2B04KsUXVCc1
283,Booye Shomal,Masih,spotify:track:3FZSwXCZUwwffCchntOgMn
284,Amoo Zanjir Baf,Masih,spotify:track:1oUx9AtfB7TH1w8PkE9V8k
285,Man Mazerat Mikham,Masih,spotify:track:5GiSBhIT2MYPp4pBBTL0Kh
286,Chatr,Masih,spotify:track:5J7zGGvUD3TsQ6cPpRtPfj
287,Hale Ajib,Masih,spotify:track:1J1WtQIgLE5LAOcfUUdyoe
288,Aslan,Masih,spotify:track:5MgVzot4gurMnXQA2fkl19
